singer_name,photo_url,singer_styles,date,n_songs
Mc Max,https://www.vagalume.com.br/mc-max/images/mc-max.jpg,"['Funk Carioca', 'Funk', 'Gospel/Religioso']",2008-08-01,20
Bob Rum,https://www.vagalume.com.br/bob-rum/images/bob-rum.jpg,"['Funk Carioca', 'Funk', 'Rap']",2004-03-01,20
Duda do Marapé,https://www.vagalume.com.br/duda-do-marape/images/duda-do-marape.jpg,"['Funk Carioca', 'Electronica', 'Funk']",2006-03-01,20
MC Marcio G,https://www.vagalume.com.br/mc-marcio-g/images/mc-marcio-g.jpg,"['Funk Carioca', 'Funk', 'Romântico']",2005-04-01,20
Jaula Das Gostosudas,https://www.vagalume.com.br/jaula-das-gostosudas/images/jaula-das-gostosudas.jpg,"['Funk Carioca', 'Electronica', 'Funk']",2009-05-01,19
Jerry Smith,https://www.vagalume.com.br/jerry-smith/images/jerry-smith.jpg,['Funk Carioca'],2017-05-01,19
Mc Tikão,https://www.vagalume.com.br/mc-ticao/images/mc-ticao.jpg,"['Funk Carioca', 'Funk', 'Rap']",2006-11-01,19
Mc Wm,https://www.vagalume.com.br/mc-wm/images/mc-wm.jpg,['Funk Carioca'],2015-03-01,19
Max Pierre,https://www.vagalume.com.br/max-pierre/images/max-pierre.jpg,"['Funk Carioca', 'MPB', 'Pagode']",2009-07-01,19
Mc Romeu,https://www.vagalume.com.br/mc-romeu/images/mc-romeu.jpg,"['Funk Carioca', 'Romântico', 'Hip Hop']",2008-02-01,19
Mc Juninho,https://www.vagalume.com.br/mc-juninho/images/mc-juninho.jpg,"['Funk Carioca', 'Black Music', 'Axé']",2006-12-01,18
Mc Didô,https://www.vagalume.com.br/mc-dido/images/mc-dido.jpg,"['Funk Carioca', 'Funk', 'Pagode']",2006-04-01,18
Mc Jefinho,https://www.vagalume.com.br/mc-jefinho/images/mc-jefinho.jpg,"['Funk Carioca', 'Funk', 'Rap']",2006-06-01,18
Mc Byana,https://www.vagalume.com.br/mc-byana/images/mc-byana.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2011-03-01,18
Andrezinho Shock,https://www.vagalume.com.br/andrezinho-shock/images/andrezinho-shock.jpg,"['Funk Carioca', 'Gospel/Religioso', 'Rap']",2009-12-01,18
Priscila Nocetti,https://www.vagalume.com.br/priscila-nocetti/images/priscila-nocetti.jpg,"['Funk Carioca', 'Funk', 'Romântico']",2006-01-01,17
Mc Pelé,https://www.vagalume.com.br/mc-pele/images/mc-pele.jpg,"['Funk Carioca', 'Axé', 'Sertanejo']",2006-07-01,17
MC Créu,https://www.vagalume.com.br/mc-creu-funk/images/mc-creu-funk.jpg,"['Funk Carioca', 'Electronica', 'Funk']",2007-10-01,17
Gustavo Santos,https://www.vagalume.com.br/gustavo-santos/images/gustavo-santos.jpg,"['Funk Carioca', 'Sertanejo']",2014-10-01,17
Mc Wc,https://www.vagalume.com.br/mc-wc/images/mc-wc.jpg,['Funk Carioca'],2009-01-01,16
Mc Orelha,https://www.vagalume.com.br/mc-orelha/images/mc-orelha.jpg,"['Funk Carioca', 'Funk', 'Rap']",2009-05-01,16
Mc G7,https://www.vagalume.com.br/mc-g7/images/mc-g7.jpg,"['Funk Carioca', 'Sertanejo', 'Metal']",2011-10-01,16
Mc Leoest,https://www.vagalume.com.br/mc-leoest/images/mc-leoest.jpg,"['Funk Carioca', 'Hip Hop']",2016-03-01,16
Neguinho do Caxeta,https://www.vagalume.com.br/neguinho-do-caxeta/images/neguinho-do-caxeta.jpg,"['Funk Carioca', 'Axé', 'Funk']",2006-05-01,16
Bonde da Oskley,https://www.vagalume.com.br/bonde-da-oskley/images/bonde-da-oskley.jpg,"['Funk Carioca', 'Funk', 'Axé']",2006-11-01,16
Mc Buiú,https://www.vagalume.com.br/mc-buiu/images/mc-buiu.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2007-01-01,15
Mc Pet,https://www.vagalume.com.br/mc-pet/images/mc-pet.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2012-04-01,15
Jonathan Costa,https://www.vagalume.com.br/jonathan-costa/images/jonathan-costa.jpg,"['Funk Carioca', 'Forró', 'Axé']",2008-01-01,15
MC Cacau,https://www.vagalume.com.br/mc-cacau/images/mc-cacau.jpg,"['Funk Carioca', 'Funk']",2004-07-01,15
Mc Gibi,https://www.vagalume.com.br/mc-gibi/images/mc-gibi.jpg,"['Funk Carioca', 'Funk', 'Axé']",2011-08-01,15
Mc Galo,https://www.vagalume.com.br/mc-galo/images/mc-galo.jpg,"['Funk Carioca', 'Funk', 'Axé']",2005-02-01,15
Bonde Tesão,https://www.vagalume.com.br/bonde-tesao/images/bonde-tesao.jpg,"['Funk Carioca', 'Electronica', 'Funk']",2007-01-01,15
Mc Fioti,https://www.vagalume.com.br/mc-fioti/images/mc-fioti.jpg,['Funk Carioca'],2012-11-01,15
Mc Clebinho,https://www.vagalume.com.br/mc-clebinho/images/mc-clebinho.jpg,['Funk Carioca'],2015-06-01,14
Gorila e Preto,https://www.vagalume.com.br/gorila-e-preto/images/gorila-e-preto.jpg,"['Funk Carioca', 'Gospel/Religioso', 'Hard Rock']",2006-11-01,14
Mc Bola,https://www.vagalume.com.br/mc-bola/images/mc-bola.jpg,"['Funk Carioca', 'Rap', 'Pagode']",2011-11-01,14
Mc G3,https://www.vagalume.com.br/mc-g3/images/mc-g3.jpg,"['Funk Carioca', 'Reggae', 'Funk']",2005-01-01,14
Juliana e As Fogosas,https://www.vagalume.com.br/juliana-e-as-fogosas/images/juliana-e-as-fogosas.jpg,"['Funk Carioca', 'Hip Hop']",2006-04-01,14
Warley Cruz,https://www.vagalume.com.br/warley-cruz/images/warley-cruz.jpg,"['Funk Carioca', 'Gospel/Religioso', 'Clássico']",2016-01-01,14
Tathi Kiss,https://www.vagalume.com.br/tathi-kiss/images/tathi-kiss.jpg,"['Funk Carioca', 'Romântico', 'Pagode']",2008-05-01,14
Mc Martinho,https://www.vagalume.com.br/mc-martinho/images/mc-martinho.jpg,"['Funk Carioca', 'Rap', 'Romântico']",2008-10-01,14
Mc Mascote,https://www.vagalume.com.br/mc-mascote/images/mc-mascote.jpg,"['Funk Carioca', 'Funk', 'Axé']",2005-04-01,14
Os Ousados,https://www.vagalume.com.br/os-ousados/images/os-ousados.jpg,"['Funk Carioca', 'Funk', 'Axé']",2006-07-01,13
MC Novinho,https://www.vagalume.com.br/mc-novinho/images/mc-novinho.jpg,"['Funk Carioca', 'Rock', 'Pop']",2010-03-01,13
Mc Ricardo,https://www.vagalume.com.br/mc-ricardo/images/mc-ricardo.jpg,"['Funk Carioca', 'Funk', 'Dance']",2006-01-01,13
Bola de Fogo,https://www.vagalume.com.br/bola-de-fogo/images/bola-de-fogo.jpg,"['Funk Carioca', 'Funk', 'Pop']",2004-04-01,13
Mc Tevez,https://www.vagalume.com.br/mc-tevez/images/mc-tevez.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2008-05-01,13
Mulher Filé,https://www.vagalume.com.br/mulher-file/images/mulher-file.jpg,"['Funk Carioca', 'Electronica', 'Sertanejo']",2008-12-01,12
MC Cezareth,https://www.vagalume.com.br/mc-cezareth/images/mc-cezareth.jpg,"['Funk Carioca', 'Funk']",2006-10-01,12
Mr. Mu,https://www.vagalume.com.br/mr-mu/images/mr-mu.jpg,['Funk Carioca'],2011-11-01,12
Leandro e As Abusadas,https://www.vagalume.com.br/leandro-e-as-abusadas/images/leandro-e-as-abusadas.jpg,"['Funk Carioca', 'Axé', 'Pagode']",2008-07-01,12
MC G15,https://www.vagalume.com.br/mc-g15/images/mc-g15.jpg,"['Funk Carioca', 'Funk', 'Pop']",2016-05-01,12
Mc Biju,https://www.vagalume.com.br/mc-biju/images/mc-biju.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2006-08-01,12
Malha Funk,https://www.vagalume.com.br/malha-funk/images/malha-funk.jpg,"['Funk Carioca', 'Funk', 'Dance']",2003-08-01,12
